ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000146047	H2BC1	255626	H2B clustered histone 1	protein_coding	1.554	0.6369145803558778	-9.9402	0.4379	-9.966	287.0	24.154	100.0	OVER
ENSG00000183304	FAM9A	171482	family with sequence similarity 9 member A	protein_coding	0.3512	-1.505533185718241	-9.9315	0.4128	-9.966	287.0	20.412	100.0	OVER
ENSG00000171487	NLRP5	126206	NLR family pyrin domain containing 5	protein_coding	22.0768	4.464524513053176	-9.8236	0.7189	-9.966	287.0	19.875	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	0.5704	-0.8074270586130774	-9.9162	0.4864	-9.966	287.0	18.727	100.0	OVER
ENSG00000277058	HNRNPCL3	649330	heterogeneous nuclear ribonucleoprotein C like 3	protein_coding	0.0405	-4.5907448533151625	-9.9462	0.3349	-9.966	287.0	15.991	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	10.1346	3.3413595898493464	-9.8805	0.8416	-9.966	287.0	15.71	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.0864	-3.516222910048851	-9.9408	0.4273	-9.966	287.0	15.035	100.0	OVER
ENSG00000188324	OR6C6	283365	olfactory receptor family 6 subfamily C member 6	protein_coding	0.0306	-4.9839316313723465	-9.9462	0.3349	-9.966	287.0	14.817	100.0	OVER
ENSG00000179709	NLRP8	126205	NLR family pyrin domain containing 8	protein_coding	1.3723	0.4576468193924441	-9.7933	0.8383	-9.966	287.0	12.228	100.0	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0154	-5.930160374931366	-9.9462	0.3349	-9.966	287.0	11.992	100.0	OVER
ENSG00000235608	NKX1-1	54729	NK1 homeobox 1	protein_coding	0.0346	-4.811978948583052	-9.929	0.4438	-9.966	287.0	11.53	99.9	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.0265	-5.184424571137427	-9.9408	0.4273	-9.966	287.0	11.131	99.9	OVER
ENSG00000009709	PAX7	5081	paired box 7	protein_coding	56.3102	5.815349990149575	-9.4554	1.3777	-9.966	287.0	11.084	99.9	OVER
ENSG00000173572	NLRP13	126204	NLR family pyrin domain containing 13	protein_coding	2.288	1.1947174628935995	-9.7168	1.0038	-9.966	287.0	10.87	99.9	OVER
ENSG00000197487	GALP	85569	galanin like peptide	protein_coding	0.049	-4.321928094887363	-9.9187	0.567	-9.966	287.0	9.871	99.9	OVER
ENSG00000135052	GOLM1	51280	golgi membrane protein 1	protein_coding	552.4801	9.1097813015138	3.5934	0.5726	3.541	287.0	9.634	99.9	OVER
ENSG00000101911	PRPS2	5634	phosphoribosyl pyrophosphate synthetase 2	protein_coding	129.3078	7.014676649643325	3.3747	0.3823	3.377	287.0	9.521	99.9	OVER
ENSG00000276380	UBE2NL	389898	ubiquitin conjugating enzyme E2 N like (gene/pseudogene)	protein_coding	0.0785	-3.6529013293777317	-9.8875	0.6628	-9.966	287.0	9.406	99.9	OVER
ENSG00000230301	OR5H6	79295	olfactory receptor family 5 subfamily H member 6	protein_coding	0.1555	-2.675765437729469	-9.8195	0.7757	-9.966	287.0	9.209	99.9	OVER
ENSG00000182170	MRGPRG	386746	MAS related GPR family member G	protein_coding	0.0535	-4.197599959885161	-9.9005	0.639	-9.966	287.0	8.925	99.9	OVER
ENSG00000109132	PHOX2B	8929	paired like homeobox 2B	protein_coding	0.1962	-2.3422685431715378	-9.7845	0.8461	-9.966	287.0	8.796	99.9	OVER
ENSG00000021826	CPS1	1373	carbamoyl-phosphate synthase 1	protein_coding	139.3519	7.122599215697499	0.3222	0.7761	0.4125	287.0	8.762	99.9	OVER
ENSG00000186190	BPIFB3	359710	BPI fold containing family B member 3	protein_coding	0.032	-4.921390165303634	-9.8975	0.5786	-9.966	287.0	8.6	99.9	OVER
ENSG00000101928	MOSPD1	56180	motile sperm domain containing 1	protein_coding	72.5482	6.180887800669442	2.5124	0.4283	2.559	287.0	8.565	99.9	OVER
ENSG00000173335	CST9	128822	cystatin 9	protein_coding	0.0285	-5.083141235300245	-9.9083	0.5686	-9.966	287.0	8.486	99.9	OVER
ENSG00000198732	SMOC1	64093	SPARC related modular calcium binding 1	protein_coding	120.8276	6.916818169227101	-0.7254	0.9015	-0.7346	287.0	8.477	99.9	OVER
ENSG00000100804	PSMB5	5693	proteasome 20S subunit beta 5	protein_coding	1174.0892	10.197327533053723	6.2098	0.4715	6.275	287.0	8.457	99.9	OVER
ENSG00000104327	CALB1	793	calbindin 1	protein_coding	109.8414	6.7792912428621	-2.1875	1.0762	-2.114	287.0	8.332	99.9	OVER
ENSG00000249581	CLRN2	645104	clarin 2	protein_coding	2.5447	1.3480624137351103	-9.6676	1.3234	-9.966	287.0	8.324	99.9	OVER
ENSG00000075429	CACNG5	27091	calcium voltage-gated channel auxiliary subunit gamma 5	protein_coding	0.0572	-4.102837036641166	-9.8822	0.7085	-9.966	287.0	8.157	99.8	OVER
ENSG00000164508	H2AC1	221613	H2A clustered histone 1	protein_coding	0.1862	-2.417347659966045	-9.8564	0.9268	-9.966	287.0	8.027	99.8	OVER
ENSG00000120875	DUSP4	1846	dual specificity phosphatase 4	protein_coding	257.7036	8.009574479156806	2.376	0.7351	2.328	287.0	7.664	99.8	OVER
ENSG00000229544	NKX1-2	390010	NK1 homeobox 2	protein_coding	1.5218	0.6067264750128126	-9.5542	1.3409	-9.966	287.0	7.578	99.8	OVER
ENSG00000166123	GPT2	84706	glutamic--pyruvic transaminase 2	protein_coding	172.3097	7.428868481341277	1.3252	0.8105	1.264	287.0	7.531	99.8	OVER
ENSG00000100473	COCH	1690	cochlin	protein_coding	54.2285	5.7610059635468485	-0.4909	0.8376	-0.5125	287.0	7.464	99.8	OVER
ENSG00000188408	MAGEB5	347541	MAGE family member B5	protein_coding	0.0383	-4.6693268772908425	-9.8724	0.7062	-9.966	287.0	7.368	99.8	OVER
ENSG00000196792	STRN3	29966	striatin 3	protein_coding	78.4092	6.292969434588081	3.6362	0.3614	3.645	287.0	7.351	99.8	OVER
ENSG00000171054	OR13H1	347468	olfactory receptor family 13 subfamily H member 1	protein_coding	0.0861	-3.521183470950585	-9.8404	0.8625	-9.966	287.0	7.327	99.8	OVER
ENSG00000214336	FOXI3	344167	forkhead box I3	protein_coding	18.7894	4.231923873293764	-9.1158	1.8231	-9.966	287.0	7.321	99.8	OVER
ENSG00000102038	SMARCA1	6594	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	protein_coding	137.8473	7.106937665344137	3.8804	0.4421	3.881	287.0	7.298	99.8	OVER
ENSG00000197903	H2BC12	85236	H2B clustered histone 12	protein_coding	635.3794	9.311476776743136	5.71	0.495	5.681	287.0	7.276	99.8	OVER
ENSG00000215262	KCNU1	157855	potassium calcium-activated channel subfamily U member 1	protein_coding	1.1031	0.14287084509664205	-9.4794	1.3395	-9.966	287.0	7.183	99.8	OVER
ENSG00000182890	GLUD2	2747	glutamate dehydrogenase 2	protein_coding	18.0164	4.171318933023401	-1.0552	0.7277	-0.9971	287.0	7.182	99.8	OVER
ENSG00000163053	SLC16A14	151473	solute carrier family 16 member 14	protein_coding	119.5566	6.901562031524893	0.6531	0.8742	0.7233	287.0	7.148	99.8	OVER
ENSG00000168303	MPLKIP	136647	M-phase specific PLK1 interacting protein	protein_coding	19.7824	4.306218485676556	1.2106	0.4346	1.227	287.0	7.123	99.8	OVER
ENSG00000185385	OR7A17	26333	olfactory receptor family 7 subfamily A member 17	protein_coding	0.0124	-6.221623189091677	-9.9225	0.5205	-9.966	287.0	7.11	99.8	OVER
ENSG00000038002	AGA	175	aspartylglucosaminidase	protein_coding	216.7965	7.760204310127037	3.1528	0.6494	3.259	287.0	7.095	99.8	OVER
ENSG00000072080	SPP2	6694	secreted phosphoprotein 2	protein_coding	181.5586	7.504299404717189	-9.0865	2.3521	-9.966	287.0	7.054	99.8	OVER
ENSG00000165731	RET	5979	ret proto-oncogene	protein_coding	30.4462	4.928237655306257	-1.6063	0.9289	-1.595	287.0	7.035	99.7	OVER
ENSG00000100941	PNN	5411	pinin, desmosome associated protein	protein_coding	325.4874	8.346462318232662	5.961	0.3396	5.985	287.0	7.024	99.7	OVER
ENSG00000130147	SH3BP4	23677	SH3 domain binding protein 4	protein_coding	116.4699	6.863825735470917	3.8204	0.4338	3.87	287.0	7.016	99.7	OVER
ENSG00000266472	MRPS21	54460	mitochondrial ribosomal protein S21	protein_coding	268.8732	8.070787516879129	5.4045	0.3803	5.477	287.0	7.011	99.7	OVER
ENSG00000147123	NDUFB11	54539	NADH:ubiquinone oxidoreductase subunit B11	protein_coding	532.7581	9.057339520509588	5.9835	0.4393	6.038	287.0	6.997	99.7	OVER
ENSG00000106436	MYL10	93408	myosin light chain 10	protein_coding	0.0443	-4.464345139503214	-9.8634	0.7734	-9.966	287.0	6.981	99.7	OVER
ENSG00000125356	NDUFA1	4694	NADH:ubiquinone oxidoreductase subunit A1	protein_coding	619.2716	9.274430804539005	6.4366	0.4079	6.482	287.0	6.957	99.7	OVER
ENSG00000256394	ASIC5	51802	acid sensing ion channel subunit family member 5	protein_coding	0.1372	-2.855170479161191	-9.7497	1.0005	-9.966	287.0	6.891	99.7	OVER
ENSG00000176679	TGIF2LY	90655	TGFB induced factor homeobox 2 like Y-linked	protein_coding	0.0477	-4.359934417467107	-9.8595	0.8023	-9.966	287.0	6.855	99.7	OVER
ENSG00000197753	LHFPL5	222662	LHFPL tetraspan subfamily member 5	protein_coding	0.8588	-0.21792698456614754	-9.5576	1.3755	-9.966	287.0	6.79	99.7	OVER
ENSG00000101888	NXT2	55916	nuclear transport factor 2 like export factor 2	protein_coding	38.8178	5.278683615803249	1.845	0.5063	1.876	287.0	6.782	99.7	OVER
ENSG00000174279	EVX2	344191	even-skipped homeobox 2	protein_coding	0.0221	-5.435963338133392	-9.8422	0.6548	-9.966	287.0	6.729	99.7	OVER
ENSG00000134602	STK26	51765	serine/threonine kinase 26	protein_coding	52.2357	5.706991853869446	2.1662	0.5267	2.17	287.0	6.723	99.7	OVER
ENSG00000066827	ZFAT	57623	zinc finger and AT-hook domain containing	protein_coding	96.0488	6.5857107047249785	2.172	0.659	2.128	287.0	6.698	99.7	OVER
ENSG00000139515	PDX1	3651	pancreatic and duodenal homeobox 1	protein_coding	0.1073	-3.2068948519411222	-9.7475	0.9772	-9.966	287.0	6.693	99.7	OVER
ENSG00000203668	CHML	1122	CHM like Rab escort protein	protein_coding	27.2965	4.770696925052418	1.444	0.4973	1.455	287.0	6.69	99.7	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.0518	-4.243318260190996	-9.8339	0.8384	-9.966	287.0	6.668	99.7	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	0.2185	-2.187707155126729	-9.8303	1.1477	-9.966	287.0	6.659	99.7	OVER
ENSG00000173726	TOMM20	9804	translocase of outer mitochondrial membrane 20	protein_coding	266.8905	8.06010954882103	5.7393	0.3488	5.736	287.0	6.654	99.7	OVER
ENSG00000162482	AKR7A3	22977	aldo-keto reductase family 7 member A3	protein_coding	69.3685	6.116229580880351	-0.2963	0.9642	-0.3022	287.0	6.651	99.7	OVER
ENSG00000104341	LAPTM4B	55353	lysosomal protein transmembrane 4 beta	protein_coding	297.2724	8.215646566558918	4.8475	0.5091	4.859	287.0	6.616	99.6	OVER
ENSG00000160563	MED27	9442	mediator complex subunit 27	protein_coding	93.3441	6.544502387384471	3.9173	0.3972	3.973	287.0	6.614	99.6	OVER
ENSG00000129521	EGLN3	112399	egl-9 family hypoxia inducible factor 3	protein_coding	644.402	9.331819400260931	3.0008	0.9628	2.924	287.0	6.576	99.6	OVER
ENSG00000067177	PHKA1	5255	phosphorylase kinase regulatory subunit alpha 1	protein_coding	17.6923	4.145131246908224	0.7943	0.5123	0.8488	287.0	6.541	99.6	OVER
ENSG00000086232	EIF2AK1	27102	eukaryotic translation initiation factor 2 alpha kinase 1	protein_coding	190.9791	7.577278507998973	4.9965	0.3947	5.063	287.0	6.539	99.6	OVER
ENSG00000132840	BHMT2	23743	betaine--homocysteine S-methyltransferase 2	protein_coding	109.8752	6.779735111453714	2.125	0.7133	2.078	287.0	6.526	99.6	OVER
ENSG00000091137	SLC26A4	5172	solute carrier family 26 member 4	protein_coding	86.7539	6.4388733396798035	-0.842	1.1186	-0.9971	287.0	6.509	99.6	OVER
ENSG00000150361	KLHL1	57626	kelch like family member 1	protein_coding	0.157	-2.662003536484984	-9.6535	1.0778	-9.966	287.0	6.487	99.6	OVER
ENSG00000115758	ODC1	4953	ornithine decarboxylase 1	protein_coding	1620.1225	10.661888076812993	5.2365	0.8379	5.277	287.0	6.475	99.6	OVER
ENSG00000075240	GRAMD4	23151	GRAM domain containing 4	protein_coding	161.7054	7.337232968558736	4.0097	0.5156	4.086	287.0	6.454	99.6	OVER
ENSG00000188322	SBK1	388228	SH3 domain binding kinase 1	protein_coding	24.4014	4.608951140127327	-0.5099	0.7959	-0.4131	287.0	6.432	99.6	OVER
ENSG00000163462	TRIM46	80128	tripartite motif containing 46	protein_coding	29.3425	4.8749690562698635	-0.2816	0.804	-0.3022	287.0	6.414	99.6	OVER
ENSG00000108176	DNAJC12	56521	DnaJ heat shock protein family (Hsp40) member C12	protein_coding	90.5983	6.5014279984653855	0.6538	0.9122	0.6425	287.0	6.41	99.6	OVER
ENSG00000130741	EIF2S3	1968	eukaryotic translation initiation factor 2 subunit gamma	protein_coding	260.7275	8.026404480977165	6.0195	0.3153	6.029	287.0	6.365	99.6	OVER
ENSG00000189132	FAM47B	170062	family with sequence similarity 47 member B	protein_coding	0.0659	-3.9018499789079883	-9.7744	0.9238	-9.966	287.0	6.357	99.6	OVER
ENSG00000182447	OTOL1	131149	otolin 1	protein_coding	0.0325	-4.899695094204315	-9.8528	0.7797	-9.966	287.0	6.353	99.6	OVER
ENSG00000183248	PRR36	80164	proline rich 36	protein_coding	47.352	5.565383923918279	-0.0915	0.8924	-0.0574	287.0	6.339	99.6	OVER
ENSG00000282757	DUXB	100033411	double homeobox B	protein_coding	0.1667	-2.576045405985103	-9.83	1.1479	-9.966	287.0	6.319	99.6	OVER
ENSG00000151413	NUBPL	80224	NUBP iron-sulfur cluster assembly factor, mitochondrial	protein_coding	21.6325	4.435195187101587	1.686	0.4354	1.714	287.0	6.314	99.6	OVER
ENSG00000165355	FBXO33	254170	F-box protein 33	protein_coding	37.9997	5.247954089160089	2.669	0.4092	2.665	287.0	6.302	99.5	OVER
ENSG00000197938	OR5H2	79310	olfactory receptor family 5 subfamily H member 2	protein_coding	0.0985	-3.3291596641184382	-9.7817	1.0271	-9.966	287.0	6.282	99.5	OVER
ENSG00000168619	ADAM18	8749	ADAM metallopeptidase domain 18	protein_coding	0.3284	-1.6020875398230945	-9.6781	1.2929	-9.966	287.0	6.246	99.5	OVER
ENSG00000101400	SNTA1	6640	syntrophin alpha 1	protein_coding	98.2778	6.6188083371558335	3.0379	0.576	3.105	287.0	6.217	99.5	OVER
ENSG00000029993	HMGB3	3149	high mobility group box 3	protein_coding	618.0433	9.271566440687135	3.7187	0.8951	3.8	287.0	6.204	99.5	OVER
ENSG00000149651	SPINT4	391253	serine peptidase inhibitor, Kunitz type 4	protein_coding	0.0902	-3.454822365384708	-9.8146	1.0421	-9.966	287.0	6.103	99.5	OVER
ENSG00000105131	EPHX3	79852	epoxide hydrolase 3	protein_coding	38.3439	5.260962802107379	0.8536	0.7253	0.8805	287.0	6.077	99.5	OVER
ENSG00000226372	DCAF8L1	139425	DDB1 and CUL4 associated factor 8 like 1	protein_coding	0.0135	-6.107803289534515	-9.8778	0.6204	-9.966	287.0	6.077	99.5	OVER
ENSG00000188816	HMX2	3167	H6 family homeobox 2	protein_coding	0.1715	-2.5353317329965557	-9.6708	1.1821	-9.966	287.0	6.036	99.5	OVER
ENSG00000143653	SCCPDH	51097	saccharopine dehydrogenase (putative)	protein_coding	98.6217	6.623847845021967	3.8461	0.4636	3.897	287.0	5.992	99.5	OVER
ENSG00000119318	RAD23B	5887	RAD23 homolog B, nucleotide excision repair protein	protein_coding	175.1808	7.452709087923591	5.3276	0.3548	5.327	287.0	5.99	99.5	OVER
ENSG00000175832	ETV4	2118	ETS variant transcription factor 4	protein_coding	57.6876	5.850214347061416	1.2184	0.7739	1.299	287.0	5.985	99.5	OVER
ENSG00000101474	APMAP	57136	adipocyte plasma membrane associated protein	protein_coding	255.8409	7.999108747864454	5.8549	0.3588	5.895	287.0	5.976	99.5	OVER
ENSG00000234828	IQCM	285423	IQ motif containing M	protein_coding	0.0161	-5.869859864663551	-9.8693	0.673	-9.966	287.0	5.943	99.5	OVER
ENSG00000151322	NPAS3	64067	neuronal PAS domain protein 3	protein_coding	21.9989	4.459425060917662	-2.3615	1.1485	-2.245	287.0	5.939	99.5	OVER
ENSG00000141424	SLC39A6	25800	solute carrier family 39 member 6	protein_coding	79.381	6.310740005848607	3.6193	0.457	3.65	287.0	5.889	99.5	OVER
ENSG00000196358	NTNG2	84628	netrin G2	protein_coding	168.0259	7.3925484072427	1.4961	1.0015	1.449	287.0	5.888	99.5	OVER
ENSG00000116574	RHOU	58480	ras homolog family member U	protein_coding	112.8095	6.81775754468282	3.853	0.5047	3.865	287.0	5.874	99.5	OVER
ENSG00000232535	OR5H8	79289	olfactory receptor family 5 subfamily H member 8 (gene/pseudogene)	protein_coding	0.2227	-2.1603628384903306	-9.6889	1.2824	-9.966	287.0	5.871	99.5	OVER
ENSG00000185615	PDIA2	64714	protein disulfide isomerase family A member 2	protein_coding	188.5509	7.5588178780785755	-0.311	1.343	-0.2671	287.0	5.86	99.4	OVER
ENSG00000116711	PLA2G4A	5321	phospholipase A2 group IVA	protein_coding	82.927	6.373787393722613	2.3367	0.6891	2.319	287.0	5.858	99.4	OVER
ENSG00000254999	BRK1	55845	BRICK1 subunit of SCAR/WAVE actin nucleating complex	protein_coding	537.9542	9.071342222354003	7.1647	0.3256	7.186	287.0	5.856	99.4	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	0.062	-3.9885043611621707	-9.8209	0.9975	-9.966	287.0	5.847	99.4	OVER
ENSG00000141429	GALNT1	2589	polypeptide N-acetylgalactosaminyltransferase 1	protein_coding	91.9801	6.523265545867393	4.0779	0.4185	4.096	287.0	5.843	99.4	OVER
ENSG00000003249	DBNDD1	79007	dysbindin domain containing 1	protein_coding	65.7412	6.038747830526503	1.9286	0.7039	2.008	287.0	5.839	99.4	OVER
ENSG00000203685	STUM	375057	stum, mechanosensory transduction mediator homolog	protein_coding	27.1475	4.762800583806733	-1.1746	1.0168	-1.086	287.0	5.839	99.4	OVER
ENSG00000166922	SCG5	6447	secretogranin V	protein_coding	69.4275	6.117456097293256	-0.3338	1.1095	-0.3566	287.0	5.815	99.4	OVER
ENSG00000100823	APEX1	328	apurinic/apyrimidinic endodeoxyribonuclease 1	protein_coding	683.2596	9.41629212644609	6.3405	0.5295	6.448	287.0	5.809	99.4	OVER
ENSG00000110680	CALCA	796	calcitonin related polypeptide alpha	protein_coding	24679.3383	14.59101615161488	-0.9716	2.6825	-0.7588	287.0	5.802	99.4	OVER
ENSG00000127884	ECHS1	1892	enoyl-CoA hydratase, short chain 1	protein_coding	451.4352	8.818378300520864	5.6013	0.5548	5.71	287.0	5.799	99.4	OVER
ENSG00000123131	PRDX4	10549	peroxiredoxin 4	protein_coding	769.7179	9.588187862051718	5.623	0.6844	5.598	287.0	5.794	99.4	OVER
ENSG00000174914	OR9G1	390174	olfactory receptor family 9 subfamily G member 1	protein_coding	0.0129	-6.168771306825942	-9.9004	0.6451	-9.966	287.0	5.785	99.4	OVER
ENSG00000230601	TEX48	100505478	testis expressed 48	protein_coding	1.0044	0.007769594145917349	-9.5401	1.6542	-9.966	287.0	5.772	99.4	OVER
ENSG00000189401	OTUD6A	139562	OTU deubiquitinase 6A	protein_coding	0.027	-5.158429362604483	-9.829	0.8124	-9.966	287.0	5.749	99.4	OVER
ENSG00000176399	DMRTA1	63951	DMRT like family A1	protein_coding	12.3805	3.6301142003499436	-1.1884	0.8428	-1.026	287.0	5.717	99.4	OVER
ENSG00000177383	MAGEF1	64110	MAGE family member F1	protein_coding	134.6111	7.072664286390133	4.4139	0.4658	4.522	287.0	5.708	99.4	OVER
ENSG00000147889	CDKN2A	1029	cyclin dependent kinase inhibitor 2A	protein_coding	142.5649	7.155485138008483	1.1249	1.0619	1.057	287.0	5.679	99.4	OVER
ENSG00000101079	NDRG3	57446	NDRG family member 3	protein_coding	105.2845	6.718162950748777	3.9858	0.4813	4.063	287.0	5.677	99.4	OVER
ENSG00000135097	MSI1	4440	musashi RNA binding protein 1	protein_coding	29.7494	4.894837160757922	-1.1656	1.069	-1.086	287.0	5.669	99.3	OVER
ENSG00000158604	TMED4	222068	transmembrane p24 trafficking protein 4	protein_coding	191.9238	7.584397334477859	5.6628	0.3396	5.69	287.0	5.658	99.3	OVER
ENSG00000159182	PRAC1	84366	PRAC1 small nuclear protein	protein_coding	0.2437	-2.0309139934700595	-9.7221	1.3597	-9.966	287.0	5.657	99.3	OVER
ENSG00000187837	H1-2	3006	H1.2 linker histone, cluster member	protein_coding	1472.7057	10.524254420678341	5.7315	0.8479	5.673	287.0	5.652	99.3	OVER
ENSG00000181192	DHTKD1	55526	dehydrogenase E1 and transketolase domain containing 1	protein_coding	72.125	6.172447511211024	2.4489	0.6617	2.585	287.0	5.627	99.3	OVER
ENSG00000215218	UBE2QL1	134111	ubiquitin conjugating enzyme E2 QL1	protein_coding	11.8894	3.5717253438910004	-3.0852	1.1834	-3.047	287.0	5.625	99.3	OVER
ENSG00000117595	IRF6	3664	interferon regulatory factor 6	protein_coding	119.2647	6.8980353832277	2.5328	0.777	2.614	287.0	5.618	99.3	OVER
ENSG00000134049	IER3IP1	51124	immediate early response 3 interacting protein 1	protein_coding	69.1328	6.11131932171117	3.6225	0.4439	3.659	287.0	5.607	99.3	OVER
ENSG00000170846	MRFAP1L2	93622	Morf4 family associated protein 1 like 2	protein_coding	37.3194	5.2218925439635235	2.7709	0.4375	2.822	287.0	5.602	99.3	OVER
ENSG00000144485	HES6	55502	hes family bHLH transcription factor 6	protein_coding	89.387	6.4820092629570665	2.3856	0.7314	2.362	287.0	5.601	99.3	OVER
ENSG00000125901	MRPS26	64949	mitochondrial ribosomal protein S26	protein_coding	291.1915	8.185829387508624	4.8866	0.5899	5.019	287.0	5.593	99.3	OVER
ENSG00000074695	LMAN1	3998	lectin, mannose binding 1	protein_coding	179.7706	7.490021314212315	4.9546	0.4547	4.947	287.0	5.576	99.3	OVER
ENSG00000011347	SYT7	9066	synaptotagmin 7	protein_coding	64.879	6.019701914442549	0.9986	0.902	0.9935	287.0	5.567	99.3	OVER
ENSG00000136897	MRPL50	54534	mitochondrial ribosomal protein L50	protein_coding	35.9647	5.168549778422193	2.557	0.4694	2.623	287.0	5.564	99.3	OVER
ENSG00000196944	OR2T4	127074	olfactory receptor family 2 subfamily T member 4	protein_coding	0.0445	-4.457989644463391	-9.8044	0.9613	-9.966	287.0	5.562	99.3	OVER
ENSG00000169894	MUC3A	4584	mucin 3A, cell surface associated	protein_coding	51.4685	5.685645862451739	0.1452	0.9987	0.2029	287.0	5.548	99.3	OVER
ENSG00000065154	OAT	4942	ornithine aminotransferase	protein_coding	225.7185	7.818387248703548	5.6406	0.3928	5.64	287.0	5.544	99.3	OVER
ENSG00000181704	YIPF6	286451	Yip1 domain family member 6	protein_coding	49.3183	5.624080418275816	3.6149	0.3634	3.618	287.0	5.529	99.3	OVER
ENSG00000101311	FERMT1	55612	FERM domain containing kindlin 1	protein_coding	19.5955	4.292524102108509	-0.7455	0.9121	-0.6873	287.0	5.524	99.3	OVER
ENSG00000103257	SLC7A5	8140	solute carrier family 7 member 5	protein_coding	416.6072	8.702547425655709	3.1894	0.9993	3.302	287.0	5.517	99.2	OVER
ENSG00000090534	THPO	7066	thrombopoietin	protein_coding	15.3296	3.9383422563384105	-0.2648	0.7624	-0.2328	287.0	5.513	99.2	OVER
ENSG00000065135	GNAI3	2773	G protein subunit alpha i3	protein_coding	14.5268	3.860744341602239	1.5417	0.421	1.566	287.0	5.508	99.2	OVER
ENSG00000136193	SCRN1	9805	secernin 1	protein_coding	65.292	6.028856424995796	3.6196	0.4388	3.675	287.0	5.491	99.2	OVER
ENSG00000186222	BLOC1S4	55330	biogenesis of lysosomal organelles complex 1 subunit 4	protein_coding	69.2628	6.114029634758157	2.7494	0.6157	2.921	287.0	5.465	99.2	OVER
ENSG00000123999	INHA	3623	inhibin subunit alpha	protein_coding	197.081	7.622652207167869	-0.3835	1.4663	-0.1187	287.0	5.46	99.2	OVER
ENSG00000163382	NAXE	128240	NAD(P)HX epimerase	protein_coding	400.6524	8.646210909429907	5.6515	0.5496	5.73	287.0	5.449	99.2	OVER
ENSG00000173848	NET1	10276	neuroepithelial cell transforming 1	protein_coding	175.2017	7.452881197856481	4.2155	0.5943	4.177	287.0	5.447	99.2	OVER
ENSG00000177732	SOX12	6666	SRY-box transcription factor 12	protein_coding	39.8851	5.317814160761018	1.8874	0.6306	1.941	287.0	5.44	99.2	OVER
ENSG00000129518	EAPP	55837	E2F associated phosphoprotein	protein_coding	145.4441	7.1843308830862425	4.6573	0.4649	4.716	287.0	5.436	99.2	OVER
ENSG00000105767	CADM4	199731	cell adhesion molecule 4	protein_coding	32.7033	5.031408430330303	2.0439	0.552	2.064	287.0	5.412	99.2	OVER
ENSG00000118707	TGIF2	60436	TGFB induced factor homeobox 2	protein_coding	53.8605	5.751182503197568	3.1131	0.4898	3.065	287.0	5.386	99.2	OVER
ENSG00000104755	ADAM2	2515	ADAM metallopeptidase domain 2	protein_coding	3.3162	1.7299659974469277	-9.1056	2.0236	-9.966	287.0	5.355	99.2	OVER
ENSG00000146013	GFRA3	2676	GDNF family receptor alpha 3	protein_coding	517.4809	9.015364592025511	-2.6587	2.1799	-2.388	287.0	5.355	99.2	OVER
ENSG00000138892	TTLL8	164714	tubulin tyrosine ligase like 8	protein_coding	0.2579	-1.9495331296493381	-9.5073	1.4115	-9.966	287.0	5.354	99.2	OVER
ENSG00000101577	LPIN2	9663	lipin 2	protein_coding	72.4663	6.179258238014005	4.0786	0.3925	4.074	287.0	5.352	99.2	OVER
ENSG00000179873	NLRP11	204801	NLR family pyrin domain containing 11	protein_coding	17.2904	4.1119827765505805	-8.256	2.3136	-9.966	287.0	5.346	99.2	OVER
ENSG00000143368	SF3B4	10262	splicing factor 3b subunit 4	protein_coding	170.8081	7.41624102758529	5.0091	0.4521	5.098	287.0	5.324	99.2	OVER
ENSG00000174109	UQCC4	283951	ubiquinol-cytochrome c reductase complex assembly factor 4	protein_coding	112.1112	6.808799469896692	3.0573	0.7048	3.173	287.0	5.323	99.2	OVER
ENSG00000086619	ERO1B	56605	endoplasmic reticulum oxidoreductase 1 beta	protein_coding	33.2722	5.056288716807729	2.3814	0.504	2.404	287.0	5.307	99.2	OVER
ENSG00000188991	SLC15A5	729025	solute carrier family 15 member 5	protein_coding	0.2866	-1.7978644191101514	-9.4207	1.4386	-9.966	287.0	5.299	99.1	OVER
ENSG00000265354	TIMM23	100287932	translocase of inner mitochondrial membrane 23	protein_coding	173.8381	7.441608800303372	4.6565	0.5267	4.673	287.0	5.288	99.1	OVER
